provider_id,name,phone,email,address,specialty,license_no,website
43,Patricia Vasquez,(608)476-3619x9714,jamesmendez@example.org,"2717 Nolan Plains Apt. 819, Lisafort, PR 23203",Gynecology,LIC67273,https://www.patriciaclinic.com
44,Gregory Chavez,628-733-4621,morgan96@example.com,"8886 Kim Shores Apt. 111, Marksmouth, MD 96382",Pediatrics,LIC88344,https://www.gregoryclinic.com
45,Mrs. Kathy Leblanc MD,(615)316-7486x2462,nicole73@example.org,"PSC 5905, Box 4302, APO AA 47512",Orthopedics,LIC13131,https://www.mrs.clinic.com
46,Andrew Johnson,692.754.1000x034,apacheco@example.net,"6213 Robert Landing, Port Amanda, OR 51297",Psychiatry,LIC76013,https://www.andrewclinic.com
47,Emily Hart,881-732-0744x726,arielhenderson@example.net,"20975 Reyes Island Suite 921, Garciatown, VT 62717",Psychiatry,LIC44080,https://www.emilyclinic.com
48,Kelly Hill,909.393.5428x3463,frazierjennifer@example.com,"8850 Foster Land, Michellefurt, ID 69141",Dermatology,LIC16337,https://www.kellyclinic.com
49,Erin Montgomery,8355109471,jbrown@example.org,"085 Paul Parks, New Darryl, ND 96914",Pediatrics,LIC73105,https://www.erinclinic.com
50,Darlene Wood,001-494-847-1538,onelson@example.org,"PSC 5575, Box 9377, APO AE 64306",General Medicine,LIC94042,https://www.darleneclinic.com
51,Samantha Gonzalez,936-378-3605x286,sanchezbrian@example.net,"6622 Christine Fords, East Christina, WV 97009",Neurology,LIC54911,https://www.samanthaclinic.com
52,William Rivera,7068795224,riosgabriela@example.net,"257 Hurley Mountain Suite 074, Gloriachester, WI 69265",Cardiology,LIC39494,https://www.williamclinic.com
53,Sarah Wright,+1-638-754-0542x142,timothyhernandez@example.com,"3524 Shawn Underpass, Cooperstad, CT 18540",Cardiology,LIC27695,https://www.sarahclinic.com
54,Diana Johnson,+1-390-320-5372x23980,andersonkimberly@example.org,"3524 Marc Dam, North Josephside, VA 03601",Neurology,LIC54108,https://www.dianaclinic.com
55,Mary Moore,2396417949,keith81@example.org,"183 Riddle Lakes, Hardingberg, AR 42077",General Medicine,LIC82564,https://www.maryclinic.com
56,Kathy Fleming,(626)611-0577,mallen@example.com,"3446 Vega Lodge, Danielside, NV 59262",Psychiatry,LIC99657,https://www.kathyclinic.com
57,Stanley Johnson,001-462-709-0195x21543,omaxwell@example.net,"02589 James Forges, Reidstad, HI 81729",General Medicine,LIC87657,https://www.stanleyclinic.com
58,William Hill,+1-429-586-5959x624,angela41@example.org,"069 Joseph Track, Port Donna, UT 67458",Gynecology,LIC24608,https://www.williamclinic.com
59,Casey Flores,+1-547-579-9579x6908,michaelmurphy@example.org,"Unit 3145 Box 6788, DPO AA 31653",Psychiatry,LIC23896,https://www.caseyclinic.com
60,Shannon Schneider,4602283172,manningsean@example.org,"8345 Robert Port, East Daniel, MT 52595",Gynecology,LIC74080,https://www.shannonclinic.com
61,Richard Turner,+1-816-601-4709x6834,barkermichael@example.com,"PSC 7542, Box 4414, APO AE 15688",Psychiatry,LIC17500,https://www.richardclinic.com
62,Cheryl Fletcher,001-222-583-2443x81852,david56@example.org,"649 Virginia Oval Apt. 667, Port Ashley, WI 83559",Neurology,LIC88220,https://www.cherylclinic.com
63,Douglas Murray,(933)677-2355,bbrown@example.org,"345 Sosa Dam, Ballchester, TN 88456",Cardiology,LIC48305,https://www.douglasclinic.com
64,Susan Gonzalez,8693450585,andrewsjoel@example.org,"06314 Harold Manor Apt. 741, Antoniomouth, MO 27414",Cardiology,LIC20554,https://www.susanclinic.com
65,Ronald Hensley,001-637-711-2455x302,simpsonmatthew@example.org,"27936 Smith Extensions Suite 617, Mendezshire, TN 77258",Dermatology,LIC21327,https://www.ronaldclinic.com
66,Bethany Rose,001-764-726-7832x3553,clarksamantha@example.net,"PSC 5297, Box 7013, APO AE 68225",Pediatrics,LIC37073,https://www.bethanyclinic.com
67,Tasha Ward,745-371-7146,nallen@example.net,"619 Matthews Lakes, North Matthewchester, IN 22697",Ophthalmology,LIC65439,https://www.tashaclinic.com
68,Wanda Thomas,(682)583-1022x042,greenanthony@example.org,"8652 Snyder Ramp, West Christineton, OR 81532",Ophthalmology,LIC85005,https://www.wandaclinic.com
69,Julie Diaz,913.918.7727,smithsara@example.org,"0857 Miles Brooks, Hectorland, FL 26840",Neurology,LIC97035,https://www.julieclinic.com
70,Nicole Wood,746-897-1394,ckey@example.com,"8803 Wang Port, South Josephview, NC 35876",Ophthalmology,LIC19266,https://www.nicoleclinic.com
71,Benjamin Lopez,(868)353-7966x211,alicia02@example.org,"2513 Virginia Park Suite 582, Jenniferbury, MN 96678",Neurology,LIC37155,https://www.benjaminclinic.com
72,Monique Brown,916.882.4980,lisa62@example.net,"10697 Nelson Crossroad Apt. 720, Andreton, AK 00921",General Medicine,LIC20673,https://www.moniqueclinic.com
73,Janice Leblanc,001-288-237-5294x948,xsoto@example.org,"4816 Brittany Club, Anthonyfort, NY 93689",Orthopedics,LIC12743,https://www.janiceclinic.com
74,Erik Rodriguez,001-643-233-8628x112,josephcruz@example.com,"1293 Rhonda Mountain Apt. 326, West Kimberlychester, PW 35599",Pediatrics,LIC56639,https://www.erikclinic.com
75,Jennifer Wong,001-816-972-0224x2091,xthomas@example.org,"96719 Ware Mall, South Bethton, ND 20192",Gynecology,LIC83266,https://www.jenniferclinic.com
76,Melissa Hopkins,279-540-7635x529,rickygrant@example.com,"645 Carey Skyway, Wallaceton, OH 54678",Gynecology,LIC46678,https://www.melissaclinic.com
77,Melody Wise,+1-216-495-5531,shawnle@example.com,"41173 Charles Fort, North Timothy, VI 03884",Pediatrics,LIC54212,https://www.melodyclinic.com
78,Gabrielle Ellis,963.211.2146x8241,dianapacheco@example.net,"9879 Stafford Bridge, West Adamfurt, PR 80472",Orthopedics,LIC80702,https://www.gabrielleclinic.com
79,Matthew Barron,(734)974-1677x27330,jenniferberger@example.net,"28082 Nicole Parks, New Chad, ME 82980",Neurology,LIC92188,https://www.matthewclinic.com
80,Lynn Rodriguez,001-659-966-5018x49136,deborah34@example.org,"25894 Walker Divide Apt. 156, Brownport, NV 79107",Cardiology,LIC11074,https://www.lynnclinic.com
81,Sharon Hunter,(345)946-4021x639,jsanders@example.net,"84922 Gomez Isle Apt. 982, South Joshua, WI 74449",Gynecology,LIC36719,https://www.sharonclinic.com
82,John Stevenson,311.570.9225,westjustin@example.com,"499 Barrett Forge Suite 813, Hamiltonshire, CA 10628",Orthopedics,LIC53221,https://www.johnclinic.com
83,Jonathan Banks,572-515-8134x95420,judymiller@example.com,"Unit 9133 Box 7663, DPO AE 50041",Cardiology,LIC69763,https://www.jonathanclinic.com
84,Chloe Sanchez,489.349.0777,rsellers@example.org,"930 Johnson Haven, Griffithshire, VT 44833",Urology,LIC78355,https://www.chloeclinic.com
85,Teresa Harris,(358)846-7577x318,mary51@example.net,"149 Henderson Rest Suite 070, Gonzalezberg, HI 69426",Psychiatry,LIC10848,https://www.teresaclinic.com
86,Richard Harmon,870.228.5777,sean94@example.net,"74276 Carlos Fords, Alvarezland, CO 89690",Neurology,LIC93580,https://www.richardclinic.com
87,Elizabeth Miller,001-690-351-7736x617,dyerjames@example.com,"59606 Stephen Plaza Suite 332, Thomasbury, ME 84497",Neurology,LIC36036,https://www.elizabethclinic.com
88,Dr. Charles Wilkins,(821)235-4756x45261,laurarice@example.org,"7436 Allison Route Suite 134, Garymouth, AR 28882",Orthopedics,LIC10088,https://www.dr.clinic.com
89,Theresa Miller,779-640-4565,charlesschmidt@example.com,"582 Kenneth Villages Suite 810, East Amandaside, IN 54452",Dermatology,LIC97327,https://www.theresaclinic.com
90,Sean Mcneil,839-596-1024x443,hillholly@example.net,"1156 Lopez Bypass, Millerfurt, MT 95525",Cardiology,LIC46508,https://www.seanclinic.com
91,Elizabeth Cunningham,816.264.7998,meganfoster@example.net,"5648 Rios Road Apt. 526, West Todd, AR 48433",Gynecology,LIC12091,https://www.elizabethclinic.com
92,Joseph Nguyen,893.767.0403,tinamclaughlin@example.com,"Unit 2533 Box 8322, DPO AE 18257",Neurology,LIC28803,https://www.josephclinic.com
93,Heather Hart,+1-740-255-6370x33081,jasonreed@example.net,"USNS Rodriguez, FPO AA 22786",Ophthalmology,LIC84087,https://www.heatherclinic.com
94,Dakota Davis,329-818-3697x6211,amber69@example.org,"4946 Kimberly Inlet Suite 134, North Michelle, CT 66277",Dermatology,LIC83582,https://www.dakotaclinic.com
95,Melissa Hicks,324.513.1623,yhodge@example.org,"411 Brown Vista Suite 199, Mezatown, NH 43652",Neurology,LIC53333,https://www.melissaclinic.com
96,Cory Hall,362-433-6395x241,whitelinda@example.org,"USS Davis, FPO AA 14263",Urology,LIC70471,https://www.coryclinic.com
97,Pamela Hardy,6297365792,jennifernorman@example.com,"406 Ryan Summit, West Blake, SC 55346",Psychiatry,LIC51864,https://www.pamelaclinic.com
98,Brittany Diaz,684-654-1052x3913,fjones@example.net,"7512 Jennifer Street, New Vincent, WV 72610",Gynecology,LIC17550,https://www.brittanyclinic.com
99,Heather Johnston,632-538-5113x6290,nguyenjennifer@example.net,"599 Adrienne Square, West Joshuafort, NJ 83010",Urology,LIC18373,https://www.heatherclinic.com
100,Crystal Sanford,279.802.5600x30550,wmccoy@example.net,"3463 Eric Hill Suite 341, South Lucasfort, DE 62944",Dermatology,LIC63033,https://www.crystalclinic.com
101,Maria Morton,+1-422-390-9944x20606,brownjulie@example.net,"94506 Young Stream, Kelseyberg, MH 78316",Psychiatry,LIC73268,https://www.mariaclinic.com
102,Robert Brown,467-770-5875x3513,scottwalter@example.com,"9391 Le Coves Apt. 372, South Carla, ME 61556",Psychiatry,LIC98879,https://www.robertclinic.com
103,Mark Hall,786.578.6885,vgarcia@example.com,"PSC 0304, Box 5343, APO AA 05817",Gynecology,LIC49699,https://www.markclinic.com
104,Jacob Finley,318-577-7788,michele22@example.org,"3962 Jennifer Walks Apt. 862, Lake Christophermouth, ME 23229",Dermatology,LIC37394,https://www.jacobclinic.com
105,Michael Williams,+1-975-711-2713x97429,williamsdestiny@example.net,"18376 Christian Fork, Lake Shannon, MT 12889",Ophthalmology,LIC77180,https://www.michaelclinic.com
106,Danny Zavala,(780)893-2173,adam94@example.com,"03383 Ryan Unions, Lake Steven, NM 64979",Urology,LIC52119,https://www.dannyclinic.com
107,Anne Chavez,(593)556-8127,ccampbell@example.net,"2471 Hernandez Land, East Amandashire, MP 84361",Gynecology,LIC48828,https://www.anneclinic.com
108,Jennifer Miller,(486)873-1888x136,katherine64@example.org,"7562 Green Points, East Douglas, NV 40679",Cardiology,LIC19755,https://www.jenniferclinic.com
109,Joseph Anderson,+1-263-756-3818x24452,jeffreypatrick@example.net,"310 Krystal Roads, Joanmouth, MO 44910",Cardiology,LIC99997,https://www.josephclinic.com
110,Kayla Rogers,001-994-332-6196x754,nstevens@example.com,"9684 Antonio Islands Suite 428, Port Sarah, CT 40128",Neurology,LIC88601,https://www.kaylaclinic.com
111,Randy Meza,(791)939-6154,sjames@example.com,"95352 Alexander Rest Suite 312, North Pamelamouth, IN 91900",Ophthalmology,LIC62680,https://www.randyclinic.com
112,Tracey Lynch,809-955-0601,gregorydavid@example.com,"86644 David Wells Apt. 641, Crystalville, FL 34681",Neurology,LIC23440,https://www.traceyclinic.com
113,Sabrina Lopez,(774)820-6272,armstrongangela@example.net,"163 Holly Unions, Kimberlychester, MP 39715",General Medicine,LIC36105,https://www.sabrinaclinic.com
114,Keith Morrison,672.958.3621,shortrichard@example.org,"431 Andrade Forks, North Lauraport, DC 28091",Cardiology,LIC77601,https://www.keithclinic.com
115,Nicholas Cabrera,001-753-975-4134x7934,brittany44@example.com,"PSC 9630, Box 5125, APO AE 84752",Ophthalmology,LIC60909,https://www.nicholasclinic.com
116,Justin Horn,(424)612-5031x298,kblackwell@example.net,"PSC 6041, Box 4598, APO AP 51930",Orthopedics,LIC70358,https://www.justinclinic.com
117,Kenneth Collins,814.455.9894,julia31@example.com,"211 Perez Freeway, Harrisview, SC 79329",Ophthalmology,LIC85971,https://www.kennethclinic.com
118,Christy Johnson,572-444-6907,wagnerronnie@example.net,"6228 Raymond Trail Suite 748, East Benjaminhaven, MH 68416",Dermatology,LIC25733,https://www.christyclinic.com
119,Lee Oconnor,516-900-5759,pnguyen@example.org,"25217 Michael Ridge, West Melissahaven, IA 85932",Pediatrics,LIC56541,https://www.leeclinic.com
120,Melvin Cain,001-979-866-0116x92009,kaitlin60@example.org,"0168 Tina Spur, Christineburgh, WY 66475",General Medicine,LIC66574,https://www.melvinclinic.com
121,Matthew Frost,001-846-252-3197x58024,gallagherelizabeth@example.org,"45663 Porter Springs Apt. 180, New Jessica, CT 50702",General Medicine,LIC43035,https://www.matthewclinic.com
122,Morgan Johnson,518-612-6409x7541,smiller@example.com,"1112 Derrick Turnpike Apt. 502, Port Stacey, OK 68240",General Medicine,LIC26308,https://www.morganclinic.com
123,Amanda Mathis,(276)326-4157,shawnrobles@example.net,"9357 Cathy Ramp, Wilcoxborough, OK 92970",Ophthalmology,LIC54155,https://www.amandaclinic.com
124,Michael Porter,+1-206-609-8286,ramirezemily@example.com,"01917 Joseph Way Suite 855, East Davidborough, CA 17394",Cardiology,LIC61710,https://www.michaelclinic.com
125,Alyssa Butler,517.510.8689x38421,jasonrobinson@example.org,"27481 Sanchez Summit Apt. 056, North Davidburgh, MN 03146",Urology,LIC96406,https://www.alyssaclinic.com
126,Janice Martinez,(614)758-4152,erika03@example.org,"251 Ethan Streets, Karenberg, VA 64468",Ophthalmology,LIC48316,https://www.janiceclinic.com
127,Tracy Crawford,+1-759-650-6863x970,brookspaula@example.com,"USNS Atkinson, FPO AE 70267",Ophthalmology,LIC24824,https://www.tracyclinic.com
128,Melissa Moore,294-933-1184x34027,tcastillo@example.net,"95279 Delacruz Viaduct Suite 803, North Mary, MA 72801",Cardiology,LIC20053,https://www.melissaclinic.com
129,John Wells,(624)416-3563x362,michael45@example.org,"7377 Devin Canyon Apt. 344, South Garrett, ID 73404",Neurology,LIC75836,https://www.johnclinic.com
130,Andrea Graves,001-990-550-3790x9881,zachary62@example.net,"663 Murphy Common Suite 142, Brittanyville, ID 71021",Pediatrics,LIC98382,https://www.andreaclinic.com
131,Jeremiah Willis,251.902.7154,thomas88@example.org,"758 Tamara Islands, Samanthaland, FM 53169",Neurology,LIC18145,https://www.jeremiahclinic.com
132,Colin Fletcher,737-356-4989,joe70@example.org,"25368 Wilcox Inlet, Port Michael, WV 41937",Urology,LIC95892,https://www.colinclinic.com
133,Daniel Hernandez,001-874-616-3135x924,clarkpatrick@example.net,"4888 Cesar Ferry, Ramirezport, NM 78525",Orthopedics,LIC13823,https://www.danielclinic.com
134,Teresa Coleman,910-994-8445x177,lucas32@example.com,"465 Payne Junctions Apt. 071, Jacksontown, PR 28338",Ophthalmology,LIC54937,https://www.teresaclinic.com
135,David Henderson,243.832.2914,nicole07@example.com,"33571 Charles Square, Savannahside, ND 31822",Cardiology,LIC32257,https://www.davidclinic.com
136,Kaylee Smith,349-375-9203x73253,davidallen@example.com,"204 Hart Keys, Hallshire, NM 00783",Dermatology,LIC80315,https://www.kayleeclinic.com
137,Carlos White,001-309-832-4447x062,angela52@example.org,"Unit 6121 Box 5640, DPO AE 94246",Urology,LIC17605,https://www.carlosclinic.com
138,Melanie Riley,001-892-354-4114x185,patricia57@example.com,"24977 Johnson Trail Suite 697, Sandersberg, WI 57901",General Medicine,LIC70870,https://www.melanieclinic.com
139,Andrew Mccullough,001-581-451-9297x462,emendez@example.com,"1604 Rivera Path, Michaelshire, VA 77303",Neurology,LIC93830,https://www.andrewclinic.com
140,Joseph Torres,385.378.0950x83510,eobrien@example.org,"3702 Amy Summit Suite 767, Reynoldshaven, GA 88312",Dermatology,LIC34530,https://www.josephclinic.com
141,Samuel Green,964-367-8393,kristarobinson@example.com,"084 Jeffrey Drives, East Kevinside, CO 52081",Psychiatry,LIC77542,https://www.samuelclinic.com
142,Jay Johnson,303.949.9304,codyparker@example.net,"USS Price, FPO AE 97986",General Medicine,LIC82168,https://www.jayclinic.com
143,Jenna Cook,337.402.7213,timothy65@example.net,"21345 Hill Bridge, Lake Eric, VI 08208",General Medicine,LIC30730,https://www.jennaclinic.com
144,Vincent Garcia,(418)305-0895x974,ryancole@example.net,"33226 Rodriguez Inlet, New Megan, MD 98892",General Medicine,LIC69191,https://www.vincentclinic.com
145,Amy Cuevas,2065663009,johnsonaaron@example.org,"396 Andrew Club Apt. 232, Port Michele, NM 75839",Pediatrics,LIC90635,https://www.amyclinic.com
146,Kathleen Lee,001-519-802-0510,mooneyjennifer@example.org,"4046 Robert Meadow Suite 250, Markport, MI 16663",General Medicine,LIC89285,https://www.kathleenclinic.com
147,Charles Rush,(772)286-2218,owenspatricia@example.org,"461 Sheila Field Suite 456, East Anthony, VT 18638",Gynecology,LIC93461,https://www.charlesclinic.com
148,Nicholas Berg,397.517.4395,zgould@example.com,"40404 Teresa Viaduct, Wilsonland, VI 93851",Orthopedics,LIC36728,https://www.nicholasclinic.com
149,William Dougherty,784-675-1012,santosgary@example.com,"5885 Amanda Camp Apt. 973, Millerbury, WV 95951",Pediatrics,LIC65144,https://www.williamclinic.com
150,Mary Gutierrez,871.687.3916,kristenwilliams@example.net,"Unit 0092 Box 7564, DPO AA 41075",Neurology,LIC19546,https://www.maryclinic.com
151,Nancy Hall,4133122757,denisevillanueva@example.net,"8318 Ortiz Green Apt. 926, East Wesley, ME 36279",General Medicine,LIC40113,https://www.nancyclinic.com
152,Rebecca Dawson,9602064645,orice@example.net,"277 Schneider Glen, Sharonhaven, MT 34506",Orthopedics,LIC47151,https://www.rebeccaclinic.com
153,Casey Long,(706)655-9379,michaelbranch@example.net,"169 Bernard Dam, East Carl, RI 83604",Gynecology,LIC35699,https://www.caseyclinic.com
154,Nicholas Davis,340-432-0625x36267,martinandrew@example.net,"403 Fuller Plains, Port Kelly, WA 46052",Pediatrics,LIC78680,https://www.nicholasclinic.com
155,Peggy Nguyen,685-892-6785,mdiaz@example.net,"57775 Graham Dam Suite 359, North Daniel, GA 89247",Dermatology,LIC21607,https://www.peggyclinic.com
156,Andrew Hernandez,(870)842-8835x503,ophillips@example.org,"5647 Vincent Crest, North Justinburgh, GU 54630",Pediatrics,LIC81531,https://www.andrewclinic.com
157,Alexis Brooks,001-742-464-8823x9519,moraamy@example.net,"USS Webb, FPO AA 28939",Ophthalmology,LIC82420,https://www.alexisclinic.com
158,Dawn Graham,(434)387-7917,garrettleblanc@example.net,"6990 Moon River, East Scott, FM 59935",Pediatrics,LIC56220,https://www.dawnclinic.com
159,Jack Gonzalez,921.631.1910x205,wrightluke@example.net,"5092 Pierce Summit Suite 454, Lake Robin, MO 13242",Orthopedics,LIC93953,https://www.jackclinic.com
160,Melissa Hunt,698.307.3086,tanner22@example.net,"24878 Tina Crescent, Smithchester, VA 62444",Pediatrics,LIC10356,https://www.melissaclinic.com
161,Lori Lucero,6145466435,deannawang@example.org,"4609 Michael Parkways, Harrisland, NE 72940",Ophthalmology,LIC42437,https://www.loriclinic.com
162,Amber Cruz,+1-564-690-8671x8515,michelethomas@example.org,"89335 Lee Rapids Suite 310, Port Rodney, NE 61787",Dermatology,LIC17983,https://www.amberclinic.com
163,Jacob Maxwell,6066928985,hlewis@example.org,"7242 Jeremy Corner Suite 199, South Danafort, VA 58532",Dermatology,LIC23987,https://www.jacobclinic.com
164,Vincent Lewis,001-995-945-9864,lindsay01@example.net,"860 Lloyd Fort, Griffinmouth, MP 71885",Urology,LIC94092,https://www.vincentclinic.com
165,Tim Davis,3599615630,taylorrodriguez@example.com,"0966 Hamilton Brook, Allenmouth, WV 02454",Dermatology,LIC41525,https://www.timclinic.com
166,Francisco Anderson,(769)825-4186x915,moorenathan@example.com,"78369 Michael Prairie, North Amy, NM 48326",Cardiology,LIC69488,https://www.franciscoclinic.com
167,Sherry Crane,862.760.7823x51729,tiffanyfuentes@example.com,"6324 Jamie Causeway, Port Joseport, OH 22787",General Medicine,LIC53649,https://www.sherryclinic.com
168,Trevor Miller,(424)954-1606x80083,rdavis@example.com,"83702 Foster Grove, West Carly, MN 99616",Neurology,LIC48666,https://www.trevorclinic.com
169,Emily Jones,(533)618-3232x00354,hannahrodriguez@example.com,"2785 Stephanie Centers, New Monicahaven, FL 87512",Psychiatry,LIC94358,https://www.emilyclinic.com
170,Sandra Massey,952.816.3278,scott40@example.com,"36614 Michael Road Apt. 503, East Josephstad, MO 27132",Gynecology,LIC49784,https://www.sandraclinic.com
171,Jeremiah Payne,7115716818,karenharrington@example.com,"Unit 8641 Box 4395, DPO AE 85752",Cardiology,LIC82750,https://www.jeremiahclinic.com
172,William Vaughn,8256025229,shawnbrown@example.com,"798 Alicia Mountain Suite 574, Robertsside, VT 96084",Pediatrics,LIC89542,https://www.williamclinic.com
173,Gregory Williams,633.877.0567x160,michaelwilliams@example.com,"5222 Michael Island Suite 861, Donaldville, IA 07161",General Medicine,LIC35514,https://www.gregoryclinic.com
